source_tree,source_tree_label,target_tree,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
cherry,cherry,poplar,2477,4.6193599700927734e-06,8.96453857421875e-05,-8.502602577209473e-05,0.05152925531914894
cherry,cherry,aspen,439,9.775161743164062e-06,0.000965118408203125,-0.0009553432464599609,0.010128458498023716
cherry,cherry,cypress,272,5.2928924560546875e-05,0.0194091796875,-0.019356250762939453,0.002727004716981132
cherry,cherry,sycamore,274,9.775161743164062e-06,0.001922607421875,-0.001912832260131836,0.005084325396825397
cherry,cherry,magnolia,8622,7.724761962890625e-05,0.00020885467529296875,-0.0001316070556640625,0.3698630136986301
cherry,cherry,dogwood,5679,3.647804260253906e-05,0.000293731689453125,-0.00025725364685058594,0.1241883116883117
cherry,cherry,walnut,93729,0.00011205673217773438,0.00109100341796875,-0.0009789466857910156,0.10270979020979021
cherry,cherry,hickory,305,1.043081283569336e-05,0.00022220611572265625,-0.0002117753028869629,0.04694206008583691
cherry,cherry,eucalyptus,384,5.5730342864990234e-06,0.052734375,-0.0527288019657135,0.0001056812427662037
cherry,cherry,baobab,13081,1.8104910850524902e-06,0.004608154296875,-0.0046063438057899475,0.00039288855546357616
cherry,cherry,palm,33552,2.8908252716064453e-06,0.003814697265625,-0.0038118064403533936,0.0007578125
cherry,cherry,olive,33213,5.2928924560546875e-05,0.008056640625,-0.008003711700439453,0.006569602272727273
cherry,cherry,apple,24149,0.0017547607421875,0.005218505859375,-0.0034637451171875,0.3362573099415205
cherry,cherry,pear,38790,2.3484230041503906e-05,3.0040740966796875e-05,-6.556510925292969e-06,0.7817460317460317
cherry,cherry,plum,42272,0.0003452301025390625,2.3365020751953125e-05,0.0003218650817871094,14.775510204081632
cherry,cherry,chestnut,15489,0.00016307830810546875,0.00031280517578125,-0.00014972686767578125,0.5213414634146342
cherry,cherry,hemlock,17728,7.7858567237854e-07,0.00012302398681640625,-0.0001222454011440277,0.006328730620155039
cherry,cherry,larch,326,0.000209808349609375,0.0002288818359375,-1.9073486328125e-05,0.9166666666666666
sequoia,sequoia,oak,38971,1.138448715209961e-05,0.236328125,-0.2363167405128479,4.8172375387396696e-05
sequoia,sequoia,maple,55480,1.3634562492370605e-06,0.0194091796875,-0.019407816231250763,7.02480100235849e-05
sequoia,sequoia,pine,34697,2.1010637283325195e-06,0.0361328125,-0.03613071143627167,5.814835831925676e-05
sequoia,sequoia,willow,690,1.7434358596801758e-06,0.007598876953125,-0.00759713351726532,0.00022943335843373495
sequoia,sequoia,birch,15606,4.6938657760620117e-07,0.001922607421875,-0.0019221380352973938,0.000244140625
sequoia,sequoia,cedar,76396,4.792213439941406e-05,0.0194091796875,-0.019361257553100586,0.0024690448113207546
sequoia,sequoia,cherry,41980,2.5890767574310303e-07,0.0091552734375,-0.009155014529824257,2.8279622395833332e-05
sequoia,sequoia,sequoia,11506,0.08154296875,0.01104736328125,0.07049560546875,7.3812154696132595
sequoia,sequoia,redwood,2579,0.0002593994140625,0.04638671875,-0.0461273193359375,0.005592105263157895
sequoia,sequoia,spruce,8314,1.4901161193847656e-06,0.00159454345703125,-0.0015930533409118652,0.0009345095693779904
sequoia,sequoia,fir,35092,1.2740492820739746e-06,0.01507568359375,-0.015074409544467926,8.451021634615384e-05
sequoia,sequoia,elm,43305,5.448237061500549e-08,0.00011539459228515625,-0.00011534010991454124,0.00047213972107438016
sequoia,sequoia,ash,24767,4.5634806156158447e-07,0.001800537109375,-0.0018000807613134384,0.0002534510725635593
sequoia,sequoia,beech,387,1.5869736671447754e-06,0.0023193359375,-0.0023177489638328552,0.0006842362253289474
sequoia,sequoia,poplar,2477,1.1583324521780014e-08,8.96453857421875e-05,-8.963380241766572e-05,0.00012921272440159575
sequoia,sequoia,aspen,439,8.791685104370117e-07,0.000965118408203125,-0.000964239239692688,0.0009109436758893281
sequoia,sequoia,cypress,272,3.6954879760742188e-06,0.0194091796875,-0.019405484199523926,0.0001903989779874214
sequoia,sequoia,sycamore,274,2.6971101760864258e-06,0.001922607421875,-0.0019199103116989136,0.0014028397817460317
