source_tree,target_tree,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
sycamore,fir,18,11,088,fir,35092,0.0022430419921875,0.01507568359375,-0.0128326416015625,0.14878542510121456
sycamore,elm,18,12,088,elm,43305,0.00024318695068359375,0.00011539459228515625,0.0001277923583984375,2.1074380165289255
sycamore,ash,18,13,088,ash,24767,0.0015411376953125,0.001800537109375,-0.0002593994140625,0.8559322033898306
sycamore,beech,18,14,088,beech,387,0.0022430419921875,0.0023193359375,-7.62939453125e-05,0.9671052631578947
sycamore,poplar,18,15,088,poplar,2477,0.0003032684326171875,8.96453857421875e-05,0.000213623046875,3.382978723404255
sycamore,aspen,18,16,088,aspen,439,0.000377655029296875,0.000965118408203125,-0.00058746337890625,0.391304347826087
sycamore,cypress,18,17,088,cypress,272,0.025634765625,0.0194091796875,0.0062255859375,1.320754716981132
sycamore,sycamore,18,18,088,sycamore,274,0.001129150390625,0.001922607421875,-0.00079345703125,0.5873015873015873
sycamore,magnolia,18,19,088,magnolia,8622,0.001129150390625,0.00020885467529296875,0.0009202957153320312,5.406392694063927
sycamore,dogwood,18,20,088,dogwood,5679,0.000293731689453125,0.000293731689453125,0.0,1.0
sycamore,walnut,18,21,088,walnut,93729,0.000934600830078125,0.00109100341796875,-0.000156402587890625,0.8566433566433567
sycamore,hickory,18,22,088,hickory,305,0.0009918212890625,0.00022220611572265625,0.0007696151733398438,4.463519313304721
sycamore,eucalyptus,18,23,088,eucalyptus,384,0.01287841796875,0.052734375,-0.03985595703125,0.24421296296296297
sycamore,baobab,18,24,088,baobab,13081,0.0064697265625,0.004608154296875,0.001861572265625,1.403973509933775
sycamore,palm,18,25,088,palm,33552,0.00286865234375,0.003814697265625,-0.000946044921875,0.752
sycamore,olive,18,26,088,olive,33213,0.0064697265625,0.008056640625,-0.0015869140625,0.803030303030303
sycamore,apple,18,27,088,apple,24149,0.000934600830078125,0.005218505859375,-0.004283905029296875,0.179093567251462
sycamore,pear,18,28,088,pear,38790,5.793571472167969e-05,3.0040740966796875e-05,2.7894973754882812e-05,1.9285714285714286
sycamore,plum,18,29,088,plum,42272,0.000499725341796875,2.3365020751953125e-05,0.0004763603210449219,21.387755102040817
sycamore,chestnut,18,30,088,chestnut,15489,0.00038909912109375,0.00031280517578125,7.62939453125e-05,1.2439024390243902
sycamore,hemlock,18,31,088,hemlock,17728,0.00022220611572265625,0.00012302398681640625,9.918212890625e-05,1.806201550387597
sycamore,larch,18,32,088,larch,326,0.00127410888671875,0.0002288818359375,0.00104522705078125,5.566666666666666
magnolia,oak,19,1,828,oak,38971,0.01165771484375,0.236328125,-0.22467041015625,0.04932851239669422
magnolia,maple,19,2,828,maple,55480,0.00518798828125,0.0194091796875,-0.01422119140625,0.2672955974842767
magnolia,pine,19,3,828,pine,34697,0.01031494140625,0.0361328125,-0.02581787109375,0.28547297297297297
magnolia,willow,19,4,828,willow,690,0.00157928466796875,0.007598876953125,-0.00601959228515625,0.20783132530120482
magnolia,birch,19,5,828,birch,15606,0.00072479248046875,0.001922607421875,-0.00119781494140625,0.376984126984127
magnolia,cedar,19,6,828,cedar,76396,0.00909423828125,0.0194091796875,-0.01031494140625,0.46855345911949686
magnolia,cherry,19,7,828,cherry,41980,0.00139617919921875,0.0091552734375,-0.00775909423828125,0.1525
magnolia,sequoia,19,8,828,sequoia,11506,0.0205078125,0.01104736328125,0.00946044921875,1.856353591160221
magnolia,redwood,19,9,828,redwood,2579,0.0169677734375,0.04638671875,-0.0294189453125,0.36578947368421055
magnolia,spruce,19,10,828,spruce,8314,0.000331878662109375,0.00159454345703125,-0.001262664794921875,0.20813397129186603
magnolia,fir,19,11,828,fir,35092,0.0019073486328125,0.01507568359375,-0.0131683349609375,0.12651821862348178
magnolia,elm,19,12,828,elm,43305,8.916854858398438e-05,0.00011539459228515625,-2.6226043701171875e-05,0.7727272727272727
magnolia,ash,19,13,828,ash,24767,0.00067901611328125,0.001800537109375,-0.00112152099609375,0.3771186440677966
magnolia,beech,19,14,828,beech,387,0.00067901611328125,0.0023193359375,-0.00164031982421875,0.29276315789473684
magnolia,poplar,19,15,828,poplar,2477,3.4809112548828125e-05,8.96453857421875e-05,-5.4836273193359375e-05,0.3882978723404255
magnolia,aspen,19,16,828,aspen,439,0.000579833984375,0.000965118408203125,-0.000385284423828125,0.6007905138339921
magnolia,cypress,19,17,828,cypress,272,0.01806640625,0.0194091796875,-0.0013427734375,0.9308176100628931
magnolia,sycamore,19,18,828,sycamore,274,0.000926971435546875,0.001922607421875,-0.000995635986328125,0.48214285714285715
magnolia,magnolia,19,19,828,magnolia,8622,0.00077056884765625,0.00020885467529296875,0.0005617141723632812,3.689497716894977
magnolia,dogwood,19,20,828,dogwood,5679,6.532669067382812e-05,0.000293731689453125,-0.00022840499877929688,0.2224025974025974
magnolia,walnut,19,21,828,walnut,93729,0.0003204345703125,0.00109100341796875,-0.00077056884765625,0.2937062937062937
magnolia,hickory,19,22,828,hickory,305,0.0003643035888671875,0.00022220611572265625,0.00014209747314453125,1.6394849785407726
magnolia,eucalyptus,19,23,828,eucalyptus,384,0.03173828125,0.052734375,-0.02099609375,0.6018518518518519
magnolia,baobab,19,24,828,baobab,13081,0.012451171875,0.004608154296875,0.007843017578125,2.7019867549668874
magnolia,palm,19,25,828,palm,33552,0.002777099609375,0.003814697265625,-0.00103759765625,0.728
