source_animal,target_animal,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
lion,shark,4,12,409,shark,44892,0.00018024444580078125,0.000766754150390625,-0.0005865097045898438,0.23507462686567165
lion,tiger,4,13,409,majestic,81389,0.05859375,0.00016021728515625,0.05843353271484375,365.7142857142857
lion,bat,4,14,409,bat,16120,0.002410888671875,0.00028228759765625,0.00212860107421875,8.54054054054054
lion,spider,4,15,409,spider,35454,0.0079345703125,0.000247955322265625,0.007686614990234375,32.0
lion,butterfly,4,16,409,butterfly,56269,0.062255859375,0.00018215179443359375,0.062073707580566406,341.78010471204186
lion,frog,4,17,409,frog,60981,0.000888824462890625,0.00017070770263671875,0.0007181167602539062,5.206703910614525
lion,mosquito,4,18,409,mosquito,50646,0.0003948211669921875,0.0001506805419921875,0.000244140625,2.6202531645569622
lion,sheep,4,19,409,sheep,33012,0.00010633468627929688,0.000133514404296875,-2.7179718017578125e-05,0.7964285714285714
lion,rabbit,4,20,409,rabbit,39824,0.0016632080078125,0.00012493133544921875,0.0015382766723632812,13.312977099236642
lion,bee,4,21,409,bee,38328,0.01019287109375,0.00011730194091796875,0.010075569152832031,86.89430894308943
lion,salmon,4,22,409,salmon,41420,1.2695789337158203e-05,0.00011730194091796875,-0.00010460615158081055,0.10823170731707317
lion,owl,4,23,409,owl,53369,0.0037384033203125,0.00011014938354492188,0.003628253936767578,33.93939393939394
lion,duck,4,24,409,duck,37085,0.00213623046875,0.00010347366333007812,0.002032756805419922,20.64516129032258
lion,wolf,4,25,409,wolf,37642,0.000164031982421875,9.1552734375e-05,7.2479248046875e-05,1.7916666666666667
lion,cow,4,26,409,cow,19923,0.000255584716796875,8.058547973632812e-05,0.00017499923706054688,3.171597633136095
lion,deer,4,27,409,deer,39149,0.000736236572265625,8.058547973632812e-05,0.0006556510925292969,9.136094674556213
lion,squirrel,4,28,409,squirrel,91624,0.0003948211669921875,8.058547973632812e-05,0.0003142356872558594,4.899408284023669
lion,llama,4,29,409,llama,94776,0.00021076202392578125,8.058547973632812e-05,0.00013017654418945312,2.6153846153846154
lion,bear,4,30,409,bear,11984,2.86102294921875e-05,7.104873657226562e-05,-4.2438507080078125e-05,0.40268456375838924
lion,worm,4,31,409,worm,35311,3.24249267578125e-05,6.67572021484375e-05,-3.4332275390625e-05,0.4857142857142857
lion,chicken,4,32,409,chicken,16553,0.0517578125,5.91278076171875e-05,0.05169868469238281,875.3548387096774
cat,dolphin,5,1,855,dolphin,99269,0.054443359375,0.328125,-0.273681640625,0.16592261904761904
cat,elephant,5,2,855,elephant,46840,0.08984375,0.04736328125,0.04248046875,1.8969072164948453
cat,dog,5,3,855,dog,5679,0.00106048583984375,0.036865234375,-0.03580474853515625,0.02876655629139073
cat,lion,5,4,855,lion,40132,0.01007080078125,0.0068359375,0.00323486328125,1.4732142857142858
cat,cat,5,5,855,cat,8415,0.00885009765625,0.00640869140625,0.00244140625,1.380952380952381
cat,horse,5,6,855,horse,15580,0.0057373046875,0.0026702880859375,0.0030670166015625,2.1485714285714286
cat,monkey,5,7,855,majestic,81389,0.08984375,0.00016021728515625,0.08968353271484375,560.7619047619048
cat,squid,5,8,855,squid,90275,0.00106048583984375,0.001617431640625,-0.00055694580078125,0.6556603773584906
cat,dinosaur,5,9,855,dinosaur,63989,0.0001621246337890625,0.00152587890625,-0.0013637542724609375,0.10625
cat,panda,5,10,855,adorable,41708,0.0023956298828125,3.5762786865234375e-05,0.0023598670959472656,66.98666666666666
cat,whale,5,11,855,whale,51119,0.003692626953125,0.00098419189453125,0.00270843505859375,3.751937984496124
cat,shark,5,12,855,shark,44892,0.001861572265625,0.000766754150390625,0.001094818115234375,2.427860696517413
cat,tiger,5,13,855,majestic,81389,0.08984375,0.00016021728515625,0.08968353271484375,560.7619047619048
cat,bat,5,14,855,bat,16120,0.0022430419921875,0.00028228759765625,0.00196075439453125,7.945945945945946
cat,spider,5,15,855,spider,35454,0.00347900390625,0.000247955322265625,0.003231048583984375,14.03076923076923
cat,butterfly,5,16,855,butterfly,56269,0.006500244140625,0.00018215179443359375,0.006318092346191406,35.68586387434555
cat,frog,5,17,855,frog,60981,0.0003223419189453125,0.00017070770263671875,0.00015163421630859375,1.888268156424581
